name,date,gj-qydf,prov,class1,class2,keyword,desc,link
《江西省推动虚拟电厂高质量发展工作方案》,2026/1/12,区域地方级,江西,4.能源领域,,"新型电力系统,虚拟电厂",旨在支持新型主体创新发展，加快提升江西省虚拟电厂的发展质量，充分发挥虚拟电厂在电力保障、运行调节、新能源消纳等方面的积极作用。目标到2027年，建成一批虚拟电厂试点，力争全省虚拟电厂调节能力达到100万千瓦以上，适应虚拟电厂发展的平台建设、入网检测、运行调控等技术指引框架基本建立，与虚拟电厂相匹配的电力市场体系初步建成。到2030年，力争具备300万千瓦以上调节能力，全省虚拟电厂商业模式更加丰富多元，可调节资源聚合及响应能力进一步提升。,https://drc.jiangxi.gov.cn/jxsfzhggwyh/col/col4990/content/content_2010642055169765376.html
《江西省虚拟电厂建设运营工作指南》,2026/1/12,区域地方级,江西,4.能源领域,,"新型电力系统,虚拟电厂",旨在规范江西省开展虚拟电厂建设和运营管理工作，引导和推动虚拟电厂健康发展。要求结合江西能源资源禀赋和供需实际，规范虚拟电厂功能形态，强化虚拟电厂资源聚合、系统接入、注册准入、运营管理、市场交易等关键环节管理，不断优化完善建设运营流程和相关技术要求等。包括职责分工、安全运行管理、计量与结算等方面内容。,https://drc.jiangxi.gov.cn/jxsfzhggwyh/col/col4990/content/content_2010645441336242176.html
《关于开展零碳工厂建设工作的指导意见》,2026/1/14,国家级,,3.产业领域,,零碳工厂,旨在引导工业企业试点建设零碳工厂，带动行业减碳增效和绿色低碳转型。目标2026年起，遴选一批零碳工厂，做好标杆引领。到2027 年，在汽车、锂电池、光伏、电子电器、轻工、机械、算力设施等行业领域，培育建设一批零碳工厂，初步构建零碳工厂建设产业生态等。到2030年，将零碳工厂建设逐步拓展至钢铁、有色金属、石化化工、建材、纺织等行业领域，探索传统高载能产业脱碳新路径，推广零碳工厂设计、融资、改造、管理等综合服务模式和系统解决方案，大幅提升产品全生命周期和全产业链管理能力，实现工厂碳排放的稳步下降。建设路径包括健全碳排放核算管理体系，实现科学算碳；加快用能结构绿色低碳转型，实现源头减碳等。,https://www.gov.cn/zhengce/zhengceku/202601/content_7055277.htm
《关于加快推进新疆新能源就近消纳有关事项的通知》,2026/1/16,区域地方级,新疆,4.能源领域,,"新能源,就近消纳",旨在进一步发挥新疆维吾尔自治区风光资源优势，加快实现新能源更高水平就近消纳。提出拓展新能源就近消纳模式、统筹源网荷储协调发展、落实市场与价格机制等方面的9项措施。附《新能源就近消纳项目操作指南》。,https://xjdrc.xinjiang.gov.cn/xjfgw/c108297/202601/df93edbb5db04f7b8a790e6c584a313c.shtml
《关于支持风电开发建设规范使用林地草地有关工作的通知》,2026/1/22,国家级,,4.能源领域,,"风电开发建设,新能源",旨在统筹风电开发建设与林地草地保护，推动风电场项目规范使用林地草地，促进风电高质量发展。提出支持引导风电场项目科学布局：鼓励风电场项目开发空间集约复合利用，优先布局在沙漠、戈壁、荒漠等区域，支持风电场项目开发建设并规范使用林地草地等；明确风电场项目改造升级要求；规范风电场项目使用林地草地手续办理；强化风电场项目指导和监管。,https://www.forestry.gov.cn/lyj/1/lczc/20260129/658544.html
《生态文明建设示范区（生态工业园区）管理办法》,2026/1/26,国家级,,3.产业领域,,"工业领域,生态文明建设示范区",旨在推动工业领域生态文明建设，培育发展绿色生产力，促进工业园区绿色、低碳、循环发展，规范生态文明建设示范区（生态工业园区）建设管理工作。 本办法所称生态工业园区，是指以建设现代化产业体系为导向，以减污降碳协同为重点目标，坚持智能化、绿色化、融合化方向，具备“低碳、高质、创新、循环”典型特征，对工业领域生态文明建设具有较强的示范引领作用，符合《生态工业园区建设标准》和其他有关要求，并按规定程序通过验收，被授予相应称号的园区。包含申报与创建、验收与命名等内容。,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202601/t20260127_1142733.html
《美丽北京建设2026年行动计划》,2026/1/26,区域地方级,北京,2.政策制度体系,2,美丽中国,旨在加快经济社会发展全面绿色转型，深入推进美丽北京建设。提出切实提高站位、全面压实责任、深化多元协同共治。包括《持续污染防治攻坚2026年行动计划》《加快绿色低碳转型2026年行动计划》《深化多元协同共治2026年行动计划》《2026年各区生态环境保护有关指标和重点任务计划》。,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/bgtwj/202601/t20260126_4466396.html
《关于完善发电侧容量电价机制的通知》,2026/1/30,国家级,,4.能源领域,,"电价机制,发电侧容量,新能源",旨在贯彻落实党中央和国务院关于推进能源领域价格改革，加快建设新型能源体系的决策部署，引导调节性电源平稳有序建设，保障电力系统安全稳定运行，助力经济社会绿色发展。总体思路：适应新型电力系统和电力市场体系建设需要，更好统筹电力安全稳定供应、能源绿色低碳转型和资源经济高效配置，分类完善煤电、天然气发电、抽水蓄能、新型储能容量电价机制，优化电力市场机制；电力现货市场连续运行后，有序建立发电侧可靠容量补偿机制，对机组可靠容量根据顶峰能力按统一原则进行补偿，公平反映不同机组对电力系统顶峰贡献。提出分类完善容量电价机制、有序建立发电侧可靠容量补偿机制等方面具体措施。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html
《甘肃省零碳园区建设方案》,2026/1/30,区域地方级,甘肃,3.产业领域,,零碳园区,旨在加快推进甘肃省园区低碳化、零碳化建设，提高园区绿色能源供给比例，推动园区产业结构提质升级，建设园区低碳零碳基础设施，打造绿色低碳发展新高地，积极稳妥推进碳达峰碳中和。目标积极探索和逐步完善支撑各类园区实现低碳化、零碳化的规划设计、可行技术、可靠模式和管理规范。在“十四五”末，储备启动省级零碳园区建设，积极申报国家级零碳园区；到2027年，建成5个左右零碳（低碳）园区；到2030年，建成10个左右零碳（低碳）园区，争取建成国家级零碳园区；到2035年，全省一半以上园区基本完成低碳化改造，园区零碳化技术路径明确、规划体系健全、商业模式成熟、管理规范完善，零碳园区建设成为经济社会发展全面绿色转型的重要动力源和有力增长点，为全省碳中和目标实现发挥示范引领作用。同步发布《甘肃省零碳（低碳）园区建设验收基础条件》《甘肃省零碳（低碳）园区建设引导指标体系》。,https://fzgg.gansu.gov.cn/fzgg/tzgg/202601/174278867.shtml
《关于推动城市高质量发展的实施意见》,2026/2/8,区域地方级,福建,2.政策制度体系,2,高质量发展,旨在坚持城市内涵式发展，大力实施城市更新，建设创新、宜居、美丽、韧性、文明、智慧的福建特色现代化人民城市。提出坚持生态优先，推动城市绿色低碳转型，包括：推进生产领域节能降碳；践行绿色低碳生活方式；加强城市生态环境治理等。,https://www.fujian.gov.cn/zwgk/zxwj/szfwj/202602/t20260208_7090803.htm
《关于做好2026年全国碳排放权交易市场有关工作的通知》,2026/2/9,国家级,,2.政策制度体系,2.1 环境经济,碳排放权交易,旨在统筹做好2026年全国碳排放权交易市场管理工作，保障市场健康平稳有序运行。围绕重点排放单位管理、数据质量把控、配额分配清缴及其他重点行业管理等方面，提出具体工作要求，为高排放行业低碳转型提供清晰指引。提出将重点排放单位名录管理作为首要任务，延续“2.6万吨二氧化碳当量”准入标准，细化名录制定流程。省级生态环境主管部门需制定2027年度名录，将四大核心行业达标单位纳入全国碳市场管理，延续2025年“分年度分行业制定名录”思路，保障政策连续性。,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202602/t20260209_1143900.html
《全国统一电力市场体系的实施意见》,2026/2/11,国家级,,1.国家战略体系,,电力市场,旨在进一步深化电力体制改革，加快健全适应新型能源体系的市场和价格机制，完善全国统一电力市场体系，在全国范围内有效实现电力资源市场化配置。目标到2030年，基本建成全国统一电力市场体系，各类型电源和除保障性用户外的电力用户全部直接参与电力市场，市场化交易电量占全社会用电量的70%左右。到2035年，全面建成全国统一电力市场体系，市场功能进一步成熟完善，市场化交易电量占比稳中有升。提出推动电力资源在全国范围内优化配置、健全电力市场的各项功能、构建全国统一的电力市场制度体系等七大方面工19条措施。,https://www.gov.cn/zhengce/content/202602/content_7057744.htm
《云南省碳足迹管理体系建设工作方案》,2026/2/12,区域地方级,云南,2.政策制度体系,2,碳足迹管理,旨在贯彻落实国家及云南省碳达峰碳中和工作部署，加快建立碳足迹管理体系，促进绿色低碳供应链和生产生活方式转型，推动新质生产力发展，助力实现碳达峰碳中和目标。目标到2030年建立完善省级产品碳足迹管理体系。提出开展核算标准研制 、建立本地化数据库、推行产品核算认证等六大方面14条措施。,https://sthjt.yn.gov.cn/xxgk2020/zc/qtwj/202602/t20260212_244390.html
《关于进一步加快电网项目建设有关事宜的通知》,2026/2/13,区域地方级,内蒙古,4.能源领域,,新型电力系统,旨在进一步加快电网项目建设，推动建立内蒙古自治区新型电力系统，助力自治区经济社会高质量发展。提出简化土地手续办理、规范临时用地管理、强化电力通道保障等七方面工作，明确符合国家规定的国家和自治区级重大电网项目，因工期紧或受季节影响急需动工建设的可申请办理先行用地等。,https://www.nmg.gov.cn/zwgk/zfxxgk/zfxxgkml/202602/t20260225_2864627.html
《生态工业园区建设标准》HJ 274—2026,2026/2/28,国家级,,2.政策制度体系,2.2 标准体系,生态工业园区,旨在推动工业领域生态文明建设，规范生态工业园区的建设和运行。本标准规定了生态工业园区的评价方法、评价指标和数据采集与计算方法等内容。本标准首次发布于2006年，2015年第一次修订，本次为第二次修订。本次修订的主要内容：增加了基本要求；将指标分类修改为减污降碳、发展质效、创新驱动、生态引领四大类，评价指标分为必选指标和特色指标；在《国家生态工业示范园区标准》（HJ 274—2015）基础上，考虑分类分区指导，更新部分指标，修改部分指标限值。,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/other/qt/202602/t20260228_1145104.shtml
《青海省关于促进光热发电规模化发展的若干措施》,2026/3/2,区域地方级,青海,4.能源领域,,"新能源,光热发电",旨在大力推动青海省光热发电规模化、园区化、市场化发展，力争到2030年，全省光热发电在建在运总规模达到800万千瓦、在运装机规模突破500万千瓦，打造“中国光热之都”。提出结合“十五五”全省电力缺口及调峰需求，省级能源主管部门会同价格主管部门分年分批开展独立光热优选工作，规模每年约100-200万千瓦；落实新能源上网电价市场化改革要求；完善支持光热发电参与电力市场规则机制等。,http://www.qinghai.gov.cn/xxgk/xxgk/fd/zfwj/202603/t20260303_394079.html
《关于促进光伏组件综合利用的指导意见》,2026/3/3,国家级,,4.能源领域,,"光伏,新能源","旨在提升光伏组件综合利用水平。目标到2027年，光伏组件绿色生产水平进一步提高，再生材料使用比例有效提升，组件报废评价标准和检验检测方法得到完善。表层结构拆解、层压件高效分离、组分提取等关键技术取得突破，废旧光伏组件综合利用产品在金属冶炼、装备制造、建材生产等重点领域的应用规模进一步扩大，制定一批光伏组件绿色设计和综合利用方面的技术标准，培育一批废旧光伏组件综合利用骨干企业，光伏组件综合利用量累计达到25万吨。到2030年，光伏组件综合利用技术装备水平进一步提升，产业创新发展能力明显增强，综合利用产品应用场景和应用方式不断拓展，形成产业链上下游协同紧密、产能布局合理、能够应对大规模退役潮的废旧光伏组件综合利用能力。包括推进光伏行业绿色设计和制造、推动光伏组件有序报废退役、推动绿色高效拆解利用等七方面内容。

",https://www.miit.gov.cn/zwgk/zcwj/wjfb/yj/art/2026/art_95cd611e3c664dfc96cd76ace1aa24d7.html
《关于印发湖北省碳普惠管理办法（试行）的通知》,2026/3/3,区域地方级,湖北,2.政策制度体系,2,碳普惠,旨在积极应对气候变化，全面落实绿色低碳发展理念，加快形成绿色低碳生产生活方式，规范湖北省碳普惠管理工作。碳普惠是指运用政策引导、商业激励和市场交易等方式，带动企事业单位、社会团体、其他社会组织及个人等各类主体广泛参与降碳增汇的正向引导机制。包括总则、碳普惠方法学管理、碳普惠减排量与碳积分管理、碳普惠减排量交易与消纳等六章21条。,https://sthjt.hubei.gov.cn/fbjd/zc/zcwj/sthjt/ehf/202603/t20260313_5892061.shtml
《关于做好2026年碳市场有关工作的通知》,2026/3/6,区域地方级,天津,2.政策制度体系,2.1 环境经济,碳市场,旨在落实天津市碳排放权交易市场建设部署，做好温室气体排放管理工作。提出确定温室气体排放单位名单：全市工业行业以及货运港口、水上货物运输、航空货物运输、机场等行业2025年度温室气体排放量达到1万吨二氧化碳当量（综合能源消费量约0.5万吨标准煤）及以上的企业，其中纳入本市碳排放权交易市场的温室气体重点排放单位254家，其他排放单位67家；加强数据质量管理；开展年度碳排放核查等内容。,https://sthj.tj.gov.cn/ZWGK4828/ZCWJ6738/sthjjwj/202603/t20260317_7263396.html
《中华人民共和国生态环境法典》,2026/3/13,国家级,,1.国家战略体系,,"法规,生态环境法典",旨在保护生态环境，防治污染和其他公害，保障公众健康和生态环境权益，维护生态安全，推动绿色低碳发展，建设生态文明，全面推进美丽中国建设。法典共5编1242条，包括总则、污染防治、生态保护、绿色低碳发展、法律责任和附则。整合了30多部法律、100余件行政法规及千余件地方性法规，系统覆盖生态环境治理全领域。将“绿色低碳发展”独立成编，明确碳达峰碳中和路径，建立碳排放总量控制等制度。确立排污许可制为核心监管制度，将固体废物零进口从“逐步实现”改为“强制实行”。将于2026年8月15日起施行。,https://www.mee.gov.cn/ywgz/fgbz/fl/202603/t20260313_1146496.shtml
《关于开展氢能综合应用试点工作的通知》,2026/3/16,国家级,,4.能源领域,,"氢能,新能源",旨在以多场景规模化应用带动成本降低，助力氢能技术装备创新突破，推动氢能产业高质量发展。目标到2030年，城市群氢能在多元领域实现规模化应用，终端用氢平均价格降至25元/千克以下，力争在部分优势地区降至15元/千克左右；全国燃料电池汽车保有量较2025年翻一番，力争达到10万辆。通过应用规模扩大，推动氢能应用技术、工艺、装备创新突破，实现燃料电池、电解槽、储运装置和材料等迭代升级，推动氢能成为新的经济增长点，支撑实现经济社会发展全面绿色转型。试点任务包括：燃料电池汽车、绿色氨醇、氢基化工原料替代等。,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_d2957277c4684eb59c0c0de01af59434.html
《废光伏设备回收处理污染控制技术规范》HJ 1463—2026,2026/3/16,国家级,,2.政策制度体系,2.2 标准体系,"光伏,回收处理",旨在防治废光伏设备回收处理过程的环境污染，保护生态环境，规范和指导废光伏设备回收处理过程的污染控制。规定了废光伏设备拆卸、收集、运输、贮存、拆解、综合利用和处置过程中污染控制技术要求。标准适用于废光伏设备回收处理全过程的污染控制，可作为废光伏设备综合利用相关建设项目环境影响评价的建厂选址、工程建设、运行管理、竣工环境保护验收、排污许可管理、清洁生产审核等技术依据。2026年3月1日实施。,https://sthjt.nx.gov.cn/zfxxgk/fdzdgknr/lzyj/bzgf/202603/t20260316_5193750.html
《宁夏回族自治区2026年度充电基础设施建设实施方案》,2026/3/18,区域地方级,宁夏,4.能源领域,,"充电基础设施,电动车",持续提升宁夏回族自治区充电基础设施服务保障能力，促进电动汽车更大范围内购置使用。目标到2026年底，全区新建公共充电枪不少于2500个，快充枪占比不低于60%，大功率充电枪不少于300个，基本建成城市面状、公路线状、乡村点状布局的公共充电网络等。重点任务包括：进一步完善充电基础设施网络布局、进一步提升电动重卡充电服务能力等。,https://fzggw.nx.gov.cn/zcgh/fgwwj/202603/t20260320_5199180.html
《2026年能源行业标准计划立项指南》,2026/3/19,国家级,,4.能源领域,,能源行业,旨在落实全国能源工作会议部署，围绕能源行业管理和产业发展需要，明确2026年能源行业标准立项重点方向和工作要求，持续完善能源行业标准体系，以标准支撑能源强国建设。立项重点包括紧密围绕构建新型能源体系工作任务，保障能源安全和绿色低碳转型，促进能源新技术、新产业、新业态发展，突出重点领域和关键技术要求，提出能源行业标准计划等。,https://www.nea.gov.cn/20260324/a3810b8d733c4972a67ef5891a17b8ea/c.html
《关于做好2026年本市碳排放单位管理和碳排放权交易有关工作的通知》,2026/3/19,区域地方级,北京,2.政策制度体系,2.1 环境经济,碳排放权交易,北京市碳市场依托北京市碳排放权交易管理平台，对碳排放报告、核查与检查工作实施统一管理。提出为鼓励碳排放单位消纳绿电，参与直接电力市场化交易的碳排放单位使用的电力碳排放据实核算，绿电碳排放核算为零，火电碳排放按照国家最新发布的化石能源电力碳排放因子核算。包括碳排放单位范围、报告与核查、碳排放量确认和配额核发等五部分内容。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202603/t20260324_4564693.html
《节能装备高质量发展实施方案（2026—2028年）》,2026/3/20,国家级,,3.产业领域,,节能装备,旨在持续提升通用性强、用能量大、发展前景突出的节能装备能效水平，加强节能装备供给与应用。节能装备是指在生产、使用能源的各个环节中，采用先进技术设计和制造，可提高能源利用效率，减少能源消耗和损失的产品、设备。目标到2028年，节能装备关键材料、零部件取得突破，重点行业领域用能系统匹配性、实际运行效率持续提升，电机、变压器等节能装备能效水平达到国际领先。节能装备市场占有率进一步提高。推广一批先进适用节能装备更新改造系统解决方案，打造一批人工智能赋能节能装备应用场景，培育一批具有国际竞争力的节能装备骨干企业和产业集群。,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_a3250eaa656845149b12615070009204.html
《北京市关于推动碳捕集利用与封存产业培育壮大的若干措施》,2026/3/20,区域地方级,北京,3.产业领域,,CCUS,充分发挥北京市在科技创新方面的资源优势，培育发展碳捕集利用与封存（CCUS）产业。包括提升技术创新能力、完善产业培育体系等四部分内容，提出加大CCUS关键核心技术研发攻关、支持CCUS产业培育载体建设、支持CCUS技术装备推广应用等12条措施。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202603/t20260324_4564707.html
《天津市电动汽车充电设施服务能力“质效双增”实施方案》,2026/3/23,区域地方级,天津,4.能源领域,,"充电基础设施,电动车",旨在加大力度完善天津市电动汽车充电设施服务网络，服务能力“质量”和“效能”双重提升，促进新能源汽车等大宗消费，助力新能源汽车产业高质量发展。目标到2027年底，在全市范围内建成超50万台充电设施，充电容量达到530万千瓦，满足超过100万辆电动汽车充电需求。包括公共充电设施提质升级行动、车网互动规模化应用推广行动、充电运营服务质量提升行动等七方面15条措施。,https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/zcwjx/fgwj/202603/t20260323_7267626.html
《湖南省国民经济和社会发展第十五个五年规划纲要》,2026/3/26,区域地方级,湖南,2.政策制度体系,2,绿色低碳转型,旨在阐明湖南省经济社会发展战略，明确政府工作重点，引导规范社会主体行为，是“十五五”时期我省推进社会主义现代化建设的宏伟蓝图，是湖南省人民共同的行动纲领。提出推进经济社会发展全面绿色转型 加快建设美丽湖南等17篇内容，包括实施碳排放总量和强度双控制度、推动重点领域绿色转型、健全绿色发展政策体系等具体措施。,https://www.hunan.gov.cn/hnszf/xxgk/wjk/szfwj/202604/t20260412_33952633.html
《关于组织开展零碳园区培育建设的通知》,2026/3/26,区域地方级,天津,3.产业领域,,零碳园区,旨在有计划、分步骤推进天津市各类园区低碳化零碳化改造，助力园区和企业减碳增效。目标分阶段到2030年，建成2个以上国家级零碳园区，培育一批特色鲜明、示范性强的市级零碳园区，全市各类园区低碳化水平显著提升，零碳园区建设成为驱动产业转型升级、赋能区域高质量发展的绿色引擎，为全市实现碳达峰碳中和目标提供有力支撑。,https://fzgg.tj.gov.cn/xxfb/tzggx/202603/t20260326_7270496.html
《关于促进特种设备安全与节能科技创新发展的指导意见》,2026/3/27,国家级,,3.产业领域,,"产业领域,节能降碳",旨在完善特种设备科技创新体系，全链条推动关键核心技术攻关。目标到2030年，围绕特种设备全生命周期安全保障能力，构建“现代设计—先进制造—智能运维”的技术体系，突破影响特种设备安全与节能的重大工程难题与疑难技术问题等。提出研发特种设备先进与绿色制造技术、加快突破新能源与绿色低碳特种设备安全技术等内容。,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/tzsbs/art/2026/art_9b44b2123b0241b9a0d46f953add65ec.html
《关于推动城市高质量发展的实施意见》,2026/3/27,区域地方级,云南,2.政策制度体系,2,高质量发展,旨在统筹推动云南省城市高质量发展。目标到2030年，城市体系更加协调，人居品质明显提升，治理水平大幅提高，全省城市发展迈上新台阶。到2035年，具有边疆民族地区特点的现代化人民城市基本建成。提出优化城市体系，激活城市发展潜力；加强规划设计，彰显美丽城市特色风貌；做优城市建设，筑牢宜居韧性城市基础等方面内容。,https://www.yn.gov.cn/zwgk/zcwj/swwj/202603/t20260327_325350.html
《关于培育建设零碳园区的意见》,2026/3/30,区域地方级,甘肃,3.产业领域,,零碳园区,旨在加快培育建设一批零碳园区，促进经济社会发展全面绿色转型，推动甘肃省实现风光资源大省向低碳供能用能强省转变。主要目标是：到2027年，全省零碳园区培育建设体系基本建立，初步形成能源供给源头低碳、产业转型过程降碳、生态优化末端固碳的可复制、可推广建设路径。到2030年，力争建成2个及以上国家级零碳园区，建成10个左右省级零碳园区，全面推动省级及以上重点工业园区低碳化改造，园区用能绿色化水平明显提升，核心优势产业碳排放强度达到国内先进水平。包括全力建成首批国家级零碳园区、梯度培育更多国家级零碳园区等内容。,https://www.gansu.gov.cn/gsszf/c100055/202603/174309783.shtml
《关于进一步加强电动自行车锂离子电池回收利用体系建设的通知》,2026/4/3,国家级,,3.产业领域,,"电池回收利用,电动自行车,锂离子电池",旨在进一步发挥供销合作社再生资源回收利用网络作用，推动电动自行车锂离子电池（以下简称锂电池）规范高效回收利用。包括发挥供销合作社再生资源回收利用网络作用：各地要发挥供销合作社企业等各类经营主体参与的以回收点、中转站、分拣中心为支撑的三级回收体系作用；强化再生资源回收利用行业龙头企业作用；支持运用数字化技术做好锂电池信息流向监测等内容。,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_00ca5710df374b6f962d881194bc5e9d.html
